name
Cerioporus squamosus
Amanita muscaria
Trametes versicolor
Fomitopsis betulina
Coprinus comatus
Fomitopsis mounceae
Fomes fomentarius
Inonotus obliquus
Laetiporus sulphureus
Apioperdon pyriforme
Mycena leaiana
Artomyces pyxidatus
Ischnoderma resinosum
Lycoperdon perlatum
Lyophyllum decastes
Turbinellus floccosus
Climacodon septentrionalis
Hericium coralloides
Scleroderma citrinum
Clavulinopsis fusiformis
Trametes gibbosa
Hericium americanum
Suillus spraguei
Clavaria zollingeri
Amanita flavoconia
Phaeolus schweinitzii
Sarcomyxa serotina
Suillus americanus
Amanita jacksonii
Entoloma quadratum
Phyllotopsis nidulans
Clavaria fragilis
Ganoderma applanatum
Cerrena unicolor
Peniophora rufa
Boletinellus merulioides
Gloeophyllum sepiarium
Hemileccinum subglabripes
Trichaptum biforme
Schizophyllum commune
Cantharellus enelensis
Entoloma abortivum
Plicaturopsis crispa
Hygrocybe conica
Panellus stipticus
Calvatia gigantea
Hygrocybe cantharellus
Pseudohydnum gelatinosum
Trametes cinnabarina
Craterellus tubaeformis
Humidicutis marginata
Irpex lacteus
Craterellus cornucopioides
Amanita fulva
Megacollybia rodmanii
Strobilomyces strobilaceus
Omphalotus illudens
Ramariopsis kunzei
Flammulina velutipes
Hymenopellis furfuracea
Clavulina coralloides
Lenzites betulinus
Harrya chromipes
Mutinus ravenelii
Tylopilus felleus
Coprinellus micaceus
Armillaria ostoyae
Gliophorus psittacinus
Oxyporus populinus
Boletus chippewaensis
Daedaleopsis confragosa
Coltricia perennis
Leucoagaricus leucothites
Cortinarius violaceus
Tapinella atrotomentosa
Galerina marginata
Phellinus igniarius
Marasmius oreades
Lentinus brumalis
Candolleomyces candolleanus
Amanita brunnescens
Lactarius deterrimus
Mycena galericulata
Coprinopsis atramentaria
Pluteus cervinus
Neofavolus alveolaris
Amanita frostiana
Cortinarius caperatus
Coprinellus disseminatus
Entoloma murrayi
Coprinopsis variegata
Gyroporus cyanescens
Pleurotus ostreatus
Cyathus striatus
Paxillus involutus
Gymnopus dryophilus
Cantharellus cibarius
Cantharellula umbonata
Suillus grevillei
Phlebia radiata
Leccinum aurantiacum
Pleurotus populinus
Crucibulum laeve
Cortinarius armillatus
Marasmius rotula
Lactarius salmonicolor
Leucocoprinus birnbaumii
Hypholoma lateritium
Lactarius lignyotus
Poronidulus conchifer
Phellinus tremulae
Sebacina schweinitzii
Pholiota limonella
Asterophora lycoperdoides
Ductifera pululahuana
Guepinia helvelloides
Hydnoporia tabacina
Hygrophoropsis aurantiaca
Xeromphalina campanella
Physalacria inflata
Bjerkandera adusta
Amanita spreta
Trametes hirsuta
Pleurocybella porrigens
Tyromyces chioneus
Phallus ravenelii
Gloioxanthomyces nitidus
Trametes pubescens
Russula brevipes
Pleurotus pulmonarius
Tricholoma equestre
Volvariella bombycina
Mycena haematopus
Lepiota cristata
Lentinus levis
Rhodocollybia maculata
Tricholoma saponaceum
Inocybe geophylla
Flammula alnicola
Auricularia americana
Xanthoporia radiata
Chalciporus piperatus
Laccaria ochropurpurea
Lichenomphalia hudsoniana
Leccinum scabrum
Picipes badius
Exidia glandulosa
Tricholoma vaccinum
Polyporus radicatus
Trichaptum abietinum
Aleurodiscus amorphus
Hypholoma capnoides
Cortinarius malicorius
Lacrymaria lacrymabunda
Amanita bisporigera
Lactarius indigo
Amanita rubescens
Hygrocybe cuspidata
Hemistropharia albocrenulata
Parasola plicatilis-similis
Hygrocybe punicea
Fomitopsis pinicola
Multiclavula mucida
Chondrostereum purpureum
Cystoderma amianthinum
Cerioporus varius
Amaropostia stiptica
Cortinarius traganus
Grifola frondosa
Russula cyanoxantha
Gymnopilus luteus
Pholiota aurivella
Trametes ochracea
Onnia tomentosa
Tricholomopsis decora
Craterellus ignicolor
Hydnum repandum
Gliophorus laetus
Tricholoma magnivelare
Amanita wellsii
Ramaria stricta
Lentinellus ursinus
Vitreoporus dichrous
Sebacina sparassoidea
Panaeolina foenisecii
Pholiota squarrosa
Suillus cavipes
Clavulinopsis corniculata
Baorangia bicolor
Agrocybe praecox
Retiboletus ornatipes
