name
Conocybe apala
Laccaria bicolor
Hebeloma mesophaeum
Armillaria sinapina
Baeospora myriadophylla
Hygrocybe miniata
Amanita citrina
Tylopilus rubrobrunneus
Amanita porphyria
Amanita velatipes
Sutorius eximius
Cortinarius collinitus
Hapalopilus rutilans
Neolentinus lepideus
Collybiopsis confluens
Amanita virosa
Punctularia strigosozonata
Xerocomus subtomentosus
Ampulloclitocybe clavipes
Cantharellus cinnabarinus
Lycoperdon marginatum
Lactarius vinaceorufescens
Entoloma chalybaeum
Suillus granulatus
Leccinum holopus
Mycena pura
Stropharia rugosoannulata
Russula fragilis
Cuphophyllus pratensis
Amanita vaginata
Tricholoma pessundatum
Cortinarius evernius
Hydnellum caeruleum
Phallus indusiatus
Collybia tuberosa
Pholiota granulosa
Clitopilus prunulus
Ganoderma lucidum
Cuphophyllus virgineus
Cortinarius iodes
Imleria badia
Rhodofomes roseus
Pholiota spumosa
Hypsizygus ulmarius
Bresadolia craterella
Cortinarius trivialis
Arrhenia epichysium
Stropharia caerulea
Hygrocybe chlorophana
Antrodiella semisupina
Clavaria fumosa
Lactarius helvus
Melanoleuca davisiae
Boletus paluster
Boletus edulis
Lactarius torminosus
Rickenella fibula
Merismodes fasciculata
Tricholomopsis rutilans
Steccherinum ochraceum
Clitocybula oculus
Pholiota squarrosoides
Postia balsamea
Lactarius rufus
Tricholoma transmutans
Lactarius subpurpureus
Postia tephroleuca
Neoantrodia variiformis
Cortinarius armeniacus
Xerocomellus chrysenteron
Coltricia cinnamomea
Gomphidius glutinosus
Tectella patellaris
Pseudoarmillariella ectypoides
Hygrocybe coccinea
Russula aeruginea
Russula paludosa
Entoloma sericeum
Crepidotus calolepis
Lactarius deceptivus
Entoloma strictius
Cortinarius alboviolaceus
Pseudoboletus parasiticus
Coprinopsis lagopus
Xanthoconium affine
Laccaria laccata
Clitocybe odora
Hygrophorus pudorinus
Albatrellus ovinus
Inocybe lacera
Cortinarius chrysolitus
Sarcodon stereosarcinon
Crepidotus applanatus
Agaricus arvensis
Cryptoporus volvatus
Connopus acervatus
Tubaria furfuracea
Entoloma incanum
Inocybe flocculosa
Laccaria amethystina
Catathelasma ventricosum
Abortiporus biennis
Russula emetica
Gomphus clavatus
Crepidotus crocophyllus
Pluteus chrysophlebius
Tricholoma focale
Tricholoma virgatum
Tricholoma portentosum
Polyporus umbellatus
Lactarius mammosus
Leccinum piceinum
Antrodia heteromorpha
Amanita rhacopus
Boletinus ampliporus
Tulasnella aurantiaca
Xeromphalina kauffmanii
Cortinarius pholideus
Stropharia hornemannii
Megacollybia platyphylla
Pycnoporellus fulgens
Cortinarius incognitus
Boletinus glandulosus
Scleroderma areolatum
Agaricus placomyces
Tricholoma subluteum
Lactarius affinis
Lactarius mucidus
Hygrophorus speciosus
Suillus luteus
Hymenopellis megalospora
Fomitiporia punctata
Lactarius camphoratus
Craterellus lutescens
Hypsizygus tessulatus
Agrocybe pediades
Trametes suaveolens
Rhodocollybia butyracea
Hemileccinum hortonii
Tulosesus bisporus
Phellodon niger
Hydnellum concrescens
Leccinum versipelle
Cortinarius angelesianus
Conocybe rugosa
Infundibulicybe gibba
Pholiota flammans
Psathyrella piluliformis
Armillaria mellea
Climacocystis borealis
Ganoderma resinaceum
Xanthoporus peckianus
Agrocybe acericola
Tricholoma inamoenum
Lycoperdon subincarnatum
Lichenomphalia umbellifera
Auriscalpium vulgare
Tricholoma subsejunctum
Pluteus granularis
Harrya chromapes
Gliophorus irrigatus
Gyroporus castaneus
Phellinus piceinus
Sebacina incrustans
Cortinarius torvus
Cortinarius croceus
Infundibulicybe squamulosa
Gymnopilus penetrans
Rhodotus palmatus
Lentinellus cochleatus
Myxarium nucleatum
Clavulinopsis laeticolor
Pluteus longistriatus
Melanoleuca fumosolutea
Amanita abrupta
Lactarius hygrophoroides
Helvellosebacina concrescens
Phellinopsis conchata
Pseudosperma rimosum
Clavariadelphus ligula
Thelephora terrestris
Alloclavaria purpurea
Cortinarius semisanguineus
Laccaria striatula
Hebeloma crustuliniforme
Lepiota clypeolaria
Clitocybula familia
Meiorganum curtisii
Russula decolorans
Russula puellaris
Stereum hirsutum
Exidia recisa
Cytidia salicina
Sphaerobolus stellatus
Boletus subvelutipes
Cyptotrama chrysopepla
Neoalbatrellus caeruleoporus
Aureoboletus russellii
Cortinarius lucorum
Fuscopostia fragilis
Podofomes mollis
Hydnellum peckii
Pleurotus dryinus
Mycena sanguinolenta
Inocybe dulcamara
Cortinarius flexipes
Cortinarius delibutus
Bovista plumbea
Leucoagaricus americanus
Cyanosporus caesius
Jahnoporus hirtus
Crepidotus mollis
Tricholoma terreum
Tricholoma imbricatum
Lepista nuda
Agaricus campestris
Lactarius tabidus
Lactarius uvidus
Lactarius gerardii
Leucocybe candicans
Hygrocybe parvula
Cortinarius malachius
Cerioporus leptocephalus
Neoantrodia serialis
Inosperma calamistratum
Calcipostia guttulata
Thaxterogaster multiformis
Pseudospongipellis delectans
Rigidonotus glomeratus
Hydnoporia olivacea
Phellinus lundellii
Mycena acicula
Cortinarius raphanoides
Cortinarius biformis
Coprinellus verrucispermus
Mycetinis scorodonius
Baeospora myosura
Cuphophyllus lacmus
Hygrophorus olivaceoalbus
Entoloma rhodopolium
Phlebia coccineofulva
Russula xerampelina
Russula aquosa
Simocybe centunculus
Hygrocybe acutoconica
Entoloma subsinuatum
Cortinarius corrugatus
Leccinum insolens
Leccinum snellii
Suillus acidus
Tubaria confragosa
Crepidotus cinnabarinus
Pluteus plautus
Tricholoma columbetta
Tricholoma argyraceum
Cyathus stercoreus
Lactarius repraesentaneus
Sistotrema confluens
Cortinarius sanguineus
Tricholoma acerbum
Protostropharia semiglobata
Cortinarius brunneus
Entoloma formosum
Lactarius vietus
Russula adusta
Picipes melanopus
Cortinarius tinctorum
Rhodofomes cajanderi
Cortinarius bolaris
Poriella subacida
Cystoagaricus subamarus
Phellodon tomentosus
Hydnellum aurantiacum
Hydnellum scrobiculatum
Hohenbuehelia angustata
Plicatura nivea
Cortinarius claricolor
Cortinarius anomalus
Gymnopilus sapineus
Crinipellis scabella
Hygrophorus camarophyllus
Hygrophorus chrysodon
Dichomitus squalens
Russula risigallina
Stereum sanguinolentum
Marasmius siccus
Hygrophorus ponderatus
Entoloma luteum
Sarcodon imbricatus
Mutinus elegans
Suillus tomentosus
Lepista irina
Melanoleuca brevipes
Lycoperdon curtisii
Mycena subcaerulea
Tricholoma odorum
Lactarius griseus
Boletinus spectabilis
Cortinarius glandicolor
Panus neostrigosus
Loweomyces fractipes
Daedalea quercina
Lactarius subdulcis
Zhuliangomyces illinitus
Cortinarius decipiens
Phellinus prunicola
Inocutis rheades
Clavariadelphus truncatus
Polyozellus multiplex
Chroogomphus rutilus
Xeromphalina tenuipes
Cortinarius camphoratus
Cortinarius obtusus
Pholiota lignicola
Pholiota populnea
Cystodermella cinnabarina
Rhizomarasmius pyrrhocephalus
Hygrophorus agathosmus
Hygrophorus russula
Entoloma serrulatum
Stereum subtomentosum
Exidia repanda
Hydnum umbilicatum
Fuscoboletinus weaverae
Hygrophorus ligatus
Hygrocybe squamulosa
Entoloma bicolor
Cortinarius impolitus
Russula compacta
Russula peckii
Kuehneromyces marginellus
Suillus brevipes
Pluteus petasatus
Tricholoma fulvum
Trichaptum fuscoviolaceum
Lactarius trivialis
Amphinema byssoides
Chlorophyllum rhacodes
Lactarius psammicola
Amanita flavorubens
Mycena niveipes
Leucocybe connata
Cyclocybe erebia
Porodaedalea pini
Lactarius pyrogalus
Picipes tubaeformis
Niveoporofomes spraguei
Polyozellus atrolazulinus
Phlegmacium argutum
Calonarius olearioides
Thaxterogaster scaurus
Hyphodontia pallidula
Thelephora caryophyllea
Rhizopogon roseolus
Xanthoconium separans
Resupinatus applicatus
Galerina paludosa
Cyptotrama asprata
Russula claroflava
Leptosporomyces galzinii
Geastrum triplex
Crinipellis setipes
Cortinarius suberi
Boletopsis grisea
Suillus neoalbidipes
Tricholoma aurantium
Coprinopsis cothurnata
Lactarius pubescens
Lactarius glyciosmus
Gloeophyllum trabeum
Gymnopus subsulphureus
Pluteus tomentosulus
Lactarius cinereus
Suillus serotinus
Cortinarius cinnamomeus
Sphagnurus paluster
Pseudotricholoma umbrosum
Phellinus cinereus
Pholiota lenta
Bolbitius titubans
Hydnellum scabrosum
Phellodon violascens
Cystinarius crassus
Cortinarius stillatitius
Cortinarius quarciticus
Cortinarius mucosus
Clitocybe truncicola
Agrocybe molesta
Cystodermella granulosa
Calvatia cyathiformis
Cuphophyllus canescens
Entoloma vernum
Trametopsis cervina
Trametes trogii
Cystostereum murrayi
Russula fragrantissima
Russula albonigra
Geastrum saccatum
Stropharia hardii
Panaeolus papilionaceus
Inocybe tahquamenonensis
Inocybe albodisca
Leucoagaricus rubrotinctus
Tylopilus exiguus
Mycena meliigena
Ramaria flava
Pluteus admirabilis
